aligned,lapvar,lpips,method,n_inliers,niqe,pair,psnr,scenario,ssim
,3.45437770138696,0.38412952423095703,Base_M1,,8.459199382544357,pair_01,27.27172223118234,S1,0.8433929063861618
False,6.209361755242574,0.3763978183269501,B1_lanczos,0,7.909358526821746,pair_01,27.2556116780639,S1,0.8413981932422162
True,78.02805829050736,0.42271870374679565,B2_homog_alpha,63,3.887629643746161,pair_01,18.489805890853003,S1,0.7337380242217465
True,89.43032788550873,0.464672327041626,B3_affine_alpha,13,4.116952413147515,pair_01,17.56521554518415,S1,0.7161913854940203
True,89.43032788550873,0.464672327041626,V2_affine_only,13,4.116952413147515,pair_01,17.56521554518415,S1,0.7161913854940203
True,91.42047719212776,0.4734114110469818,V3_affine_flow,13,4.086630270092259,pair_01,17.519991414024886,S1,0.7130567755560727
True,407.2904321361684,0.4899306893348694,V4_affine_lab,13,4.212667166438516,pair_01,19.45929030650905,S1,0.7001477562732425
True,12.908356172453214,0.3686841130256653,V5_full_nopost,13,6.013283333721401,pair_01,27.226211942501667,S1,0.8365457577234335
True,320.1712022521526,0.48967480659484863,V5_full,13,4.289369403460079,pair_01,19.538304752856245,S1,0.7038918751450243
True,12.908356172453214,0.3686841130256653,P1_fidelity,13,6.013283333721401,pair_01,27.226211942501667,S1,0.8365457577234335
True,80.32942816126105,0.37048259377479553,P2_light_post,13,4.619740198395011,pair_01,22.333357485337707,S1,0.8083960428784912
True,368.38914163934976,0.48975682258605957,A1_lightglue,36,4.258674988976401,pair_01,19.55613720219258,S1,0.701716372331865
True,281.8329511803627,0.4745078682899475,A2_raft,13,4.841941265445594,pair_01,19.547212355584193,S1,0.7137668772128719
True,295.90699139539925,0.4758029282093048,A3_learned,36,4.631170834078342,pair_01,19.567622941323595,S1,0.7095272588807154
True,16.43074228356434,0.36963745951652527,P3_fidelity_lg,36,5.924333258405807,pair_01,27.207447830235402,S1,0.8351735457181606
,3.5488199807151393,0.3381004333496094,Base_M1,,7.7979527961407555,pair_02,26.78921621363166,S1,0.865467002696947
False,5.806762004334698,0.330864816904068,B1_lanczos,0,7.470781225581592,pair_02,26.775080312465732,S1,0.8636032581829496
True,65.14917037619165,0.33106738328933716,B2_homog_alpha,117,3.901617921733737,pair_02,19.796422074986218,S1,0.7806951412706917
True,66.85094183433476,0.4202052056789398,B3_affine_alpha,22,3.7905219761579527,pair_02,17.51717375269471,S1,0.7250588037232065
True,66.85094183433476,0.4202052056789398,V2_affine_only,22,3.7905219761579527,pair_02,17.51717375269471,S1,0.7250588037232065
True,77.07466455152853,0.4293477535247803,V3_affine_flow,22,3.653015266893121,pair_02,17.43605145474333,S1,0.7210432472752812
True,345.256454674466,0.5119727253913879,V4_affine_lab,22,4.060736609415503,pair_02,19.690131734832132,S1,0.7149166579268359
True,11.884918998495438,0.3286541998386383,V5_full_nopost,22,6.015006684044855,pair_02,26.746755533565484,S1,0.8577374427209237
True,284.9152074368985,0.506862998008728,V5_full,22,4.033286937665046,pair_02,19.739642886578068,S1,0.7203433156245743
True,11.884918998495438,0.3286541998386383,P1_fidelity,22,6.015006684044855,pair_02,26.746755533565484,S1,0.8577374427209237
True,71.8511273157204,0.3756103217601776,P2_light_post,22,4.306127254174528,pair_02,22.034888924399567,S1,0.8263747953919701
True,326.866299880574,0.4960560202598572,A1_lightglue,54,4.328888885250972,pair_02,19.89178161504492,S1,0.7265698146893584
True,264.6039249053759,0.48334193229675293,A2_raft,22,4.5747226369517175,pair_02,19.754318586209703,S1,0.7301022971652191
True,333.9393186001288,0.4877307415008545,A3_learned,54,4.430740452966161,pair_02,19.862725537747526,S1,0.7300912081221889
True,13.697636764656318,0.3291820287704468,P3_fidelity_lg,54,6.094877495256769,pair_02,26.744920998601263,S1,0.857870336163359
